id,flag_reason,num_emotions,word_count,char_count,emotion_tags,clean_text,original_text
0bdd5df9,long_expressive:authoritative=0.8,1,62,369,[authoritative=0.8],"But to return to the thread of my narrative, from which I have wandered. Having received the appointment of guide and scout, and having been ordered to report at Fort Larned, then commanded by Captain Dangerfield Parker, I saw it was necessary to take my family-who had remained with me at Sheridan, after the buffalo hunting match-to Leavenworth, and there leave them.","[authoritative=0.8] But to return to the thread of my narrative, from which I have wandered. Having received the appointment of guide and scout, and having been ordered to report at Fort Larned, then commanded by Captain Dangerfield Parker, I saw it was necessary to take my family-who had remained with me at Sheridan, after the buffalo hunting match-to Leavenworth, and there leave them."
1bc00b27,long_expressive:authoritative=0.8,1,61,341,[authoritative=0.8],"But see to it, sir, that ere long they do not come, in spite of you, to seek for ammunition in this formidable arsenal, and that your vigorous metaphysics falls not into the hands of some sophist of the market place, who might discuss the question in the presence of a starving audience: we should have pillage for conclusion and peroration.","[authoritative=0.8] But see to it, sir, that ere long they do not come, in spite of you, to seek for ammunition in this formidable arsenal, and that your vigorous metaphysics falls not into the hands of some sophist of the market place, who might discuss the question in the presence of a starving audience: we should have pillage for conclusion and peroration."
39119aba,long_expressive:authoritative=0.8,1,58,351,[authoritative=0.8],"Her dread on behalf of her brother was certainly greatly diminished; yet her form shook, her breathing became short and irregular, and her whole frame gave tokens of extraordinary agitation. Her eyes rose from the floor to the dragoon, and were again fixed immovably on the carpet-she evidently wished to utter something but was unequal to the effort.","[authoritative=0.8] Her dread on behalf of her brother was certainly greatly diminished; yet her form shook, her breathing became short and irregular, and her whole frame gave tokens of extraordinary agitation. Her eyes rose from the floor to the dragoon, and were again fixed immovably on the carpet-she evidently wished to utter something but was unequal to the effort."
afbf090a,long_expressive:authoritative=0.8,2,56,320,[authoritative=0.8] [serious=0.8],"[serious=0.8, authoritative=0.8] The child accepted joyfully. Every day Luigi led his flock to graze on the road that leads from Palestrina to Borgo; every day, at nine o'clock in the morning, the priest and the boy sat down on a bank by the wayside, and the little shepherd took his lesson out of the priest's breviary.","[serious=0.8, authoritative=0.8] The child accepted joyfully. Every day Luigi led his flock to graze on the road that leads from Palestrina to Borgo; every day, at nine o'clock in the morning, the priest and the boy sat down on a bank by the wayside, and the little shepherd took his lesson out of the priest's breviary."
78a5a232,long_expressive:authoritative=0.8,2,52,308,[authoritative=0.8] [serious=0.8],"[serious=0.8, authoritative=0.8] She wearied herself, as people do in such places, in expressing her wonder at the ingenuity of the machinery; it was a relief to get away from it all into the room, cool and quiet, where half a dozen neat girls were counting and stamping the stockings with different numbers.","[serious=0.8, authoritative=0.8] She wearied herself, as people do in such places, in expressing her wonder at the ingenuity of the machinery; it was a relief to get away from it all into the room, cool and quiet, where half a dozen neat girls were counting and stamping the stockings with different numbers."
cd3391e8,long_expressive:curious=0.6,1,71,360,[curious=0.6],"Now this was the woman who had given two scones as an alms to the asker, and whose hands had been cut off therefor; and when the King married her, her fellow wives envied her and wrote to the common husband that she was an unchaste, having just given birth to the boy; so he wrote to his mother, bidding her carry the woman into the desert and leave her there.","[curious=0.6] Now this was the woman who had given two scones as an alms to the asker, and whose hands had been cut off therefor; and when the King married her, her fellow wives envied her and wrote to the common husband that she was an unchaste, having just given birth to the boy; so he wrote to his mother, bidding her carry the woman into the desert and leave her there."
a7b0f6b9,long_expressive:curious=0.6,1,54,297,[curious=0.6],"It is ten o'clock on Thursday night, and the dark wall opposite the window shuts out the moonlight that might have struggled with the light of the one dip candle by which Bartle Massey is pretending to read, while he is really looking over his spectacles at Adam Bede, seated near the dark window.","[curious=0.6] It is ten o'clock on Thursday night, and the dark wall opposite the window shuts out the moonlight that might have struggled with the light of the one dip candle by which Bartle Massey is pretending to read, while he is really looking over his spectacles at Adam Bede, seated near the dark window."
5f98f81e,long_expressive:curious=0.7,2,68,371,[confused=0.6] [curious=0.7],"[confused=0.6, curious=0.7] Their hearts were true and constant, whatever else might be their failings; and it is no new thing to 'damn the faults we have no mind to.' Philip wished that it was not so late, or that very evening he would have gone to keep guard over Sylvia in her mother's absence-nay, perhaps he might have seen reason to give her a warning of some kind.","[confused=0.6, curious=0.7] Their hearts were true and constant, whatever else might be their failings; and it is no new thing to 'damn the faults we have no mind to.' Philip wished that it was not so late, or that very evening he would have gone to keep guard over Sylvia in her mother's absence-nay, perhaps he might have seen reason to give her a warning of some kind."
67495866,long_expressive:curious=0.7,2,57,332,[confused=0.6] [curious=0.7],"[confused=0.6, curious=0.7] She had planned it all out that Dietrich should marry Veronica soon after the confirmation, that they should set up a pretty little establishment, and be her beloved neighbors. She meant to be their intimate friend and helper, to go freely in and out of their house, and to stand god mother now and then.","[confused=0.6, curious=0.7] She had planned it all out that Dietrich should marry Veronica soon after the confirmation, that they should set up a pretty little establishment, and be her beloved neighbors. She meant to be their intimate friend and helper, to go freely in and out of their house, and to stand god mother now and then."
aa89be8e,long_expressive:curious=0.7,2,54,311,[confused=0.6] [curious=0.7],"[confused=0.6, curious=0.7] They were flying high and quietly because the weather was bright. If it had been stormy, or if they had been flying by night, as they usually did, they would have stayed nearer the ground, and their leader would have trumpeted loudly to let his followers know which way he was going.","[confused=0.6, curious=0.7] They were flying high and quietly because the weather was bright. If it had been stormy, or if they had been flying by night, as they usually did, they would have stayed nearer the ground, and their leader would have trumpeted loudly to let his followers know which way he was going."
